age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,total_contacts,call_efficiency,multiple_loans,is_new_customer,y,y_numeric
36,technician,divorced,secondary,no,861.0,no,no,telephone,29,aug,140.0,2.0,-1,0,other_outcome,2,46.66666666666666,0,1,no,0
24,student,single,secondary,no,4126.0,no,no,cellular,5,apr,907.0,4.0,185,7,failure,11,181.4,0,0,yes,1
44,technician,single,secondary,no,244.0,yes,no,cellular,12,aug,1272.0,4.0,-1,0,other_outcome,4,347.0,0,1,yes,1
48,unemployed,married,secondary,no,0.0,no,no,telephone,31,jul,35.0,11.0,-1,0,other_outcome,11,2.9166666666666665,0,1,no,0
38,technician,married,secondary,no,257.0,no,no,cellular,26,aug,57.0,10.0,-1,0,other_outcome,10,5.181818181818182,0,1,no,0
48,blue-collar,married,secondary,no,1513.0,no,yes,cellular,17,jul,1171.0,1.0,-1,0,other_outcome,1,585.5,0,1,no,0
50,management,married,tertiary,no,4315.0,yes,no,cellular,22,jul,181.0,11.0,-1,0,other_outcome,11,15.083333333333334,0,1,no,0
46,services,married,tertiary,no,-780.0,no,yes,cellular,5,feb,128.0,1.0,-1,0,other_outcome,1,64.0,0,1,no,0
46,services,married,tertiary,no,474.0,no,no,cellular,9,jun,445.0,2.0,-1,0,other_outcome,2,148.33333333333334,0,1,no,0
45,admin.,married,secondary,no,248.0,no,no,cellular,16,jul,212.0,2.0,-1,0,other_outcome,2,70.66666666666667,0,1,no,0
63,retired,married,tertiary,no,262.0,no,no,cellular,8,jul,335.0,1.0,-1,0,other_outcome,1,167.5,0,1,no,0
46,blue-collar,married,primary,no,10333.0,yes,no,cellular,9,jun,579.0,4.0,-1,0,other_outcome,4,115.8,0,1,no,0
55,blue-collar,married,tertiary,no,3567.0,no,no,cellular,30,apr,85.0,1.0,-1,0,other_outcome,1,42.5,0,1,no,0
50,management,married,secondary,no,732.0,no,no,cellular,7,apr,736.0,7.0,-1,0,other_outcome,7,92.0,0,1,no,0
59,retired,divorced,secondary,no,679.0,no,no,cellular,30,jul,761.0,4.0,-1,0,other_outcome,4,152.2,0,1,yes,1
59,admin.,married,secondary,no,506.0,yes,no,cellular,13,may,281.0,1.0,-1,0,other_outcome,1,140.5,0,1,no,0
60,management,married,secondary,no,725.0,yes,no,cellular,8,jul,266.0,1.0,-1,0,other_outcome,1,133.0,0,1,no,0
52,technician,married,tertiary,no,523.0,yes,yes,cellular,8,jul,113.0,1.0,-1,0,other_outcome,1,56.5,1,1,no,0
53,blue-collar,married,secondary,no,0.0,no,yes,telephone,15,jul,152.0,4.0,-1,0,other_outcome,4,30.4,0,1,no,0
50,management,married,tertiary,no,412.0,yes,yes,cellular,11,aug,40.0,5.0,-1,0,other_outcome,5,6.666666666666667,1,1,no,0
25,services,single,secondary,no,-439.0,yes,no,cellular,12,may,293.0,1.0,-1,0,other_outcome,1,146.5,0,1,no,0
44,admin.,married,secondary,no,72.0,yes,yes,cellular,28,may,821.0,2.0,-1,0,other_outcome,2,273.6666666666667,1,1,no,0
39,blue-collar,married,primary,no,2715.0,yes,no,cellular,2,jun,201.0,3.0,-1,0,other_outcome,3,50.25,0,1,no,0
50,unemployed,married,secondary,no,1772.0,no,no,cellular,29,jul,206.0,4.0,-1,0,other_outcome,4,41.2,0,1,no,0
55,services,divorced,primary,no,96.0,yes,yes,cellular,5,may,311.0,2.0,-1,0,other_outcome,2,103.66666666666669,1,1,no,0
52,management,married,tertiary,no,249.0,yes,yes,telephone,7,may,100.0,1.0,-1,0,other_outcome,1,50.0,1,1,no,0
37,admin.,married,secondary,no,6127.0,yes,no,cellular,17,apr,1038.0,2.0,-1,0,other_outcome,2,346.0,0,1,no,0
39,unemployed,divorced,secondary,no,265.0,yes,no,cellular,27,may,93.0,1.0,555,2,other,3,46.5,0,0,yes,1
37,entrepreneur,single,tertiary,no,1467.0,yes,yes,cellular,17,nov,349.0,1.0,-1,0,other_outcome,1,174.5,1,1,no,0
42,technician,married,secondary,no,370.0,no,no,cellular,19,jun,302.0,5.0,-1,0,other_outcome,5,50.333333333333336,0,1,no,0
33,management,single,tertiary,no,12.0,no,no,cellular,20,aug,471.0,5.0,-1,0,other_outcome,5,78.5,0,1,no,0
